Question Number,Question,Concepts,Suggested Keywords
1,"If the sizes of charged bodies are very small compared to the distances between them, we treat them as ____________.",Electrostatics,"charges, charges, charges"
2,What is the dielectric constant of a metal?,Electrostatics,"constant, infinite, metal"
3,"————— gives the information on field strength, direction, and nature of the charge.",Electrostatics,"electric, electric, electric"
4,The work done in moving a unit positive test charge over a closed path in an electric field is _____________.,Electrostatics,"_____________, positive, electric"
5,What happens when a glass rod is rubbed with silk?,Unknown,"silk, silk, silk"
6,What is the formula to find the work done in rotating the dipole in a uniform magnetic field from θ1 to θ2?,Electrostatics; Magnetism,"rotating, magnetic, formula"
7,The magnetic dipole moment of a magnetic dipole is given by the formula ________.,Magnetism,"magnetic, magnetic, ________"
8,A freely suspended magnet aligns in which direction?,Unknown,"north-south, south-west, north-west"
9,The power factor is one for which of the following?,AC Circuits,"pure, pure, pure"
10,Which of the following statements is true about the LCR circuit connected to an AC source at resonance?,AC Circuits,"voltage, voltage, voltage"
11,How can the fringe width increase in Young’s double-slit experiment?,Wave Optics,"decreasing, decreasing, reducing"
12,Which of the following light phenomena confirms the transverse nature of light?,Wave Optics,"light, light, light"
13,Polaroid glasses are used in sunglasses because,Wave Optics,"fashionable, sunglasses, intensity"
14,Which of the following does the wave theory of light not explain?,Wave Optics; Photoelectric Effect,"diffraction, explain, theory"
15,Which of the following is conserved when light waves interfere?,Electromagnetic Waves,"conserved, interfere, intensity"
16,What is the geometric shape of the wavefront that originates when a plane wave passes through a convex lens?,Wave Optics,"spherical, spherical, originates"
17,"A radioactive nucleus emits a beta particle, then the parent and daughter nuclei are",Nuclear Physics,"particle, daughter, isotopes"
18,A nucleus undergoes gamma decay due to,Nuclear Physics,"excess, excess, undergoes"
19,Isotones have the same number of,Nuclear Physics,"electrons, neutrons, protons"
20,What is the phase difference between electric and magnetic fields in an electromagnetic wave?,Electrostatics; Wave Optics; Electromagnetic Waves; Magnetism,"difference, electric, fields"
